match	mis.match	rep_match	countN	Qgapcount	Qgapbases	Tgapcount	Tgapbases	strand	Qname-Tnt1	Qsize	Qstart	Nbr bp Extraire	Qend	Tname	Tsize	Tstart	Tend	blockcount	blockSizes	qStarts	tStarts
688	2	0	0	0	0	1	1	-	mira_c2413	1713	0	615	690	gb|AWOK01517809.1|	3304	0	691	2	517,173,	1023,1540,	0,518,
359	2	0	0	1	5	1	1	-	mira_rep_c5792	366	0	615	366	gb|AWOK01096782.1|	49796	48388	48750	2	7,354,	0,12,	48388,48396,
241	3	0	0	0	0	0	0	+	mira_rep_c6551	244	0	615	244	gb|AWOK01002484.1|	4459	301	545	1	244	0	301
332	2	0	0	1	1	0	0	-	mira_rep_c6836	335	0	615	335	gb|AWOK01158785.1|	20735	2257	2591	2	176,158,	0,177,	2257,2433,
1408	0	0	0	2	2	2	2	+	mira_c1293	1410	0	615	1410	gb|AWOK01488203.1|	41178	36524	37934	5	941,13,243,204,7,	0,941,955,1199,1403,	36524,37466,37479,37722,37927,
2349	2	0	0	2	2	3	122	+	mira_c148	2353	0	615	2353	gb|AWOK01318317.1|	18255	5826	8299	6	46,322,748,78,1007,150,	0,46,369,1117,1196,2203,	5826,5873,6195,7063,7141,8149,
329	4	0	0	3	3	0	0	-	mira_c1889	336	0	615	336	gb|AWOK01263122.1|	63682	43948	44281	4	25,36,19,253,	0,26,63,83,	43948,43973,44009,44028,
576	3	0	0	0	0	0	0	-	mira_c2872	867	0	615	579	gb|AWOK01790197.1|	1047	0	579	1	579	288	0
555	3	0	0	0	0	1	172	-	mira_c3316	558	0	615	558	gb|AWOK01046389.1|	1816	742	1472	2	255,303,	0,255,	742,1169,
1099	0	0	0	1	3	2	5	+	mira_c39	1102	0	615	1102	gb|AWOK01271639.1|	96442	1666	2770	3	35,234,830,	0,38,272,	1666,1705,1940,
723	2	0	0	0	0	0	0	+	mira_c4431	727	0	615	725	gb|AWOK01539279.1|	3700	85	810	1	725	0	85
541	0	0	0	1	1	1	1	+	mira_c4571	542	0	615	542	gb|AWOK01370523.1|	32486	3911	4453	3	456,79,6,	0,457,536,	3911,4367,4447,
801	1	0	0	1	1	1	1	+	mira_c745	820	0	615	803	gb|AWOK01208435.1|	35059	190	993	3	69,692,41,	0,70,762,	190,259,952,
508	0	0	0	0	0	2	315	-	mira_c7946	522	0	615	508	gb|AWOK01124853.1|	119060	73889	74712	3	71,432,5,	14,85,517,	73889,73961,74707,
